sku,name,stock,status
KIT4R-SOPRANO,"Soprano Kit 4 Rodí Zios 35MM Para Móveis Com Silicone 2",143,active
PRODUTO_341440887,"Kit 12 rodízios silicone gel 35 mm com freio",34,active
PRODUTO_341440908,"Kit 4 Rodízio Giratório Gel Silicone Rodinha 35 mm Com Trava",103,active
RODIZIO-75MM,"Soprano Kit 4 Rodízios Para Móveis Com Silicone 75MM Com",1,active
KITROD12,"Kit 12 Rodízios Gel 50mm Freio Soprano",61,active
FLOREIRA-FLAT77,"2X Floreira Flat 77 39L Cimento Queimado Japi",9,active
JVCDPA34,"Vaso Decorativo Plantas Cilíndrico Decore 34 Preto Ardosia 28L Japi",10,active
TAJ/AS*BR1-NOVO,"Assento Sanitário Almofadado Slim Branco Astra",14,active
JVAQMA55,"Japi Vaso Plantas Antique 55 Macchiato",12,active
JVAQCQ44,"Vaso Antique 44 70L Cimento Queimado Japi",4,active
JVAQMA56,"Japi Vaso Antique 56 Macchiato",3,active
13,"Caixa De Fercar Caixa Ferramentas Baú Modelo 13 50CM Azul",10,active
16,"Caixa De Ferramentas Fercar 16 De Metal 34CM X 45CM",17,active
03S,"Caixa De Ferramentas Fercar 03S Metal 20CM X 30CM X 17CM Cor",1,active
6,"Caixa De Ferramentas Fercar 06 De Metal 20CM X 40CM X 21CM",3,active
14,"Caixa Ferramenta Baú 60 Cm N.14 - Fercar",9,active
CS-11,"Caixa Sanfonada Para Ferramentas Com Rodas Fercar 11 Om 7",1,active
00,"Caixa Ferramenta Baú 00 Fercar 30X13X10 Estojo Removível",231,active
CD02,"Carrinho De Ferramentas Desmontavel Com Gaveta CD02 FERCAR",1,active
ESTOPAPOLIMENTO1KG,"Estopa Para Polimento Automotivo Algodão 1KG Aquatools",2,active
23050,"Jogo Cinta Catraca Amarração 25MM X 4 6M 800KG Aquatools",1,active
JOGOALICATES3PECAS,"Jogo De Alicates Com 3 Peças - Aquatools",4,active
VASOPLANTASJAPI,"Vaso Plantas Unique 16 Chumbo - Japi",8,active
TE-C08,"Tesoura Costura Profissional Aço Inox 8 Polegadas",4,active
RESISTENCIAENERDUCHA,"Resistencia 3 Temperaturas 220V 5400W Enerducha PLUS",7,active
KIT10RODOVEDADOR90CM,"Kit 10 Rodo Vedante Borracha Friso Porta Aluminio 90 Cm",143,active
ASTRAPET-CASINHA-CACHORRO-AZUL,"Casinha Cachorro 52x41x40 Astra Pet Azul",1,active
PL8PRATEADO,"Ducha em Alumínio 8 Polegadas - Pro Lazer Prateado",1,active
15,"Caixa De Ferramentas Fercar 15 Metal 37CM X 70CM X 28CM",5,active
ARM-08,"Armário Ferramentas Duas Portas ARM08 Fercar Cor Azul",8,active
CHB-40025,"Cabo Chupeta Bateria Profissional 2 5M 400A Enxerto",1,active
TPJ/AS*BR1,"Assento Sanitário Oval Universal Soft Branco Astra",202,active
A21,"Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra",15,active
A41*BR,"Armário Banheiro Versátil Branco com Espelho A41 Astra",5,active
RGCT50-6,"Rodízio Em Gel Com Trava Cristal 50MM Kit 6 Unidades",154,active
RG50-4,"Kit 4 rodízios 50mm em gel 2 com trava e 2 sem trava",185,active
SKU-342902474,"Soprano, Kit 4 Rodízios Móveis Gel, 2 Freio e 2 sem 75mm",1,active
1C7Q-LKVS-MQQN,"Rodízio De Gel Giratório 75MM Sem Freio Com Rolamento",2,active
1C7Q-LKVS-MDOC,"Rodízio De Gel Giratório 75MM Com Freio E Rolamento Soprano",5,active
1C7Q-LKUU-0BA3,"Rodízio Transparente 35MM Com Freio Chapa Giratória Níquel",412,active
1C7Q-LKUT-YLKI,"Rodízio Transparente 35MM Sem Freio Chapa Giratória Níquel",287,active
1C7Q-LKV1-WBFF,"Kit com 5 Rodizios Gel 35mm Giratoria Silicone trava Soprano",82,active
CONJ-10-RODIZIOS-35MM-GEL,"10x Rodízio 35mm Giratório com Freio Gel Anti-Risco Soprano",41,active
1C7Q-LKVY-UH7N,"Chave Soquete Tipo T 10MM Hexagonal Cromada 25CM Aquatools",1,active
1C7Q-LKVY-TGBG,"Chave Soquete Tipo T 13MM Aquatools Ferramenta Manual",3,active
Sulfatoonsite,"Sulfato de Alumínio Ultraclor 2kg",10,active
PAPELEIRA-ADESIVA-ASTRA-BRANCA,"Papeleira com Adesivo Branca Astra",2,active
C17S,"Caixa Descarga Branca Elevada Regulável 9L Astra",76,active
07VM,"Caixa Ferramentas Sanfonada 5 Gavetas Vermelha 50x20x21cm N07 Fercar",1,active
1C7Q-LKVM-XFLJ,"Trena Profissional Emborrachada 7 5 Metros X 25MM",1,active
KIT-4-RODIZIOS-GEL-35MM-SOPRANO,"Kit 4 Rodízios Gel Giratório Sem Freio 1,3/8 35 mm Soprano",71,active
08R,"Caixa Ferramentas Sanfonada 5 Gavetas Reforç 50x20x21cm 08R Fercar",1,active
CS-10,"Caixa Ferramentas Sanfonada 5 Gavetas Roda 50x20x21cm CS-10 Fercar",1,active
1C7Q-LKVM-XZ7J,"Enerbras Resistência Enerducha UP 5500W 127V",1,active
1C7Q-LKWA-VQGQ,"VASO Unique Chumbo N12 Japi",5,active
1C7Q-LKW4-FI2Y,"VASO Unique ROSA N16 Japi",4,active
1C7Q-LKW4-FC3O,"VASO Unique AZUL N12 Japi",4,active
1C7Q-LKW4-F5R7,"VASO Unique ROSA N12 Japi",5,active
KIT-RODIZIOS-SOPRANO-50MM-FREIO,"Soprano, Kit 4 Rodízios Móveis Freio Rodas de Silicone 50mm",185,active
03080.3050.10,"Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano",370,active
03080.2050.10,"Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano",928,active
JFFLE77,"Cachepot Floreira Flat Vaso Atenas 77(32L) Chumbo Japi",2,active
JVCDAC34,"Vaso Plantas Flor Cilíndrico Decore 34 28L JAPI Aço Corten",7,active
9040101,"Ultra Decantador Liquido Finalizador Piscinas 1l Ultraclor",1,active
VCRAC2,"Vaso Concept Redondo N2 Aço Corten",2,active
JVCDCQ34,"Vaso Decorativo Plantas Cilíndrico Decore 34 Cimento Queimado 28L Japi",13,active
JVCDPA33,"Vaso Plantas Decore 33 - Japi Preto ardósia",10,active
JVCDB33,"Vaso Plantas Decore 33 - Japi Off-white",8,active
JVCDAC33,"Vaso Plantas Decore 33 - Japi Aço corten",8,active
JVCDCQ33,"Vaso Cilíndrico Plantas Decore 33 Japi Cinza Cimento",4,active
JVCDE34,"Vaso Decorativo Plantas Cilíndrico Decore 34 Chumbo 28L Japi",5,active
JVAQAC55,"Vaso Decorativo Plantas Antique 55 (75l) Aço Corten Japi",1,active
JFUBCQ10,"Vaso Cachepot Floreira Urbe 100 Cimento Queimado",3,active
JVCDB34,"Vaso Decorativo Plantas Cilíndrico Decore 34 Off White 28L Japi",30,active
75x25,"Trena Profissional Emborrachada Aquatools 7,5 metros x 25mm",1,active
3x19,"Trena Profissional Emborrachada Aquatools 3 metros x 16mm",4,active
CAD-3050-FBACD,"Cadeado Haste Longa Latão- Papaiz 30/50",19,active
7,"Caixa Ferramentas Fercar 07 Metal 20x50x21cm Azul Fercar",3,active
9,"Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 Cm N09 Fercar",3,active
5,"Caixa Ferramentas Sanfonada 3 Gavetas 50x20x17 Cm N05 Fercar",25,active
C06AZ,"Carrinho Fechado Ferramentas C06 3 Gavetas Azul Cinza Fercar",4,active
C06PT,"Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar",21,active
C06TPT,"Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar",2,active
C06VM,"Carrinho Fechado Ferramentas C06 3 Gavetas Vermelh Cza Fercar",9,active
C08CZ,"Carrinho Fechado Nr. 08 Com 6 Gavetas Chaveado - FERCA Cinza",1,active
