sku,slug,nome_original,titulo_seo,descricao_seo,marca,tipo_produto,preco,estoque,imagem,alertas
KIT4R-SOPRÃO,kit4r-soprano-rodizios-35mm,KIT4R-SOPRÃO,"Soprano Rodízios KIT4R-SOPRÃO 35mm silicone gel com freio sem freio","Kit 4 Rodízios Gel Soprano 35mm - 2 com Freio e 2 sem Freio. Fabricado em silicone gel transparente de alta durabilidade. Giratórios 360 graus. Principais atributos: 35mm, silicone gel, com freio, sem freio, giratório. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,45.00,148,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/6419d510e16dabf3fe5eedf0b00e2579.jpg,
PRODUTO_341440887,kit-12-rodizios-silicone-gel-35mm-com-freio-soprano,PRODUTO_341440887,"Vivaliz Kit com 12 rodízios de silicone gel 35 mm com freio.","Kit com 12 rodízios de silicone gel 35 mm com freio. Principais atributos: 35 mm, silicone gel, com freio. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Vivaliz,Rodízios,119.00,40,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/0db73baf065044cb426eb384807e2d00.jpg,
PRODUTO_341440908,kit-4-rodizios-giratorios-gel-silicone-35mm-com-trava,PRODUTO_341440908,"Vivaliz Rodízios Kit 4 Rodízio Giratório Gel Silicone Rodinha 35mm Com Trava. Produto de alta qualidade premium fabricado com materiais","Kit 4 Rodízio Giratório Gel Silicone Rodinha 35mm Com Trava. Produto de alta qualidade premium fabricado com materiais duráveis e resistentes. Entrega rápida e segura pela Olist em todo o Brasil. Ideal para uso diário, com garantia de satisfação, suporte técnico completo e frete grátis. Otimize seu espaço com excelência e confiabilidade. Principais atributos: 35mm, giratório. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Vivaliz,Rodízios,45.00,120,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/149f3f291532c2da9956fdaa9ae620dc.jpg,
RODIZIO-75MM,kit-4-rodizio-gel-75mm-freio-220kg,"4x Rodízio Gel 75mm Freio 220kg Total","Vivaliz Rodízios 4x Rodízio Gel 75mm Freio 220kg Total 75 mm 220 kg RODIZIO-75MM","Kit com 4 rodízios de gel 75 mm com capacidade total de 220 kg e freio. Ideal para móveis pesados, carrinhos e equipamentos industriais ou residenciais. ✅ Carga máxima 220 kg no conjunto✅ Gel transparente de alta qualidade✅ Freio individual✅ Movimento suave e silencioso Principais atributos: 75mm, 220kg, 75 mm, 220 kg. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Vivaliz,Rodízios,76.02,3,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/d5977ed411f13406a4f7c7e8491fa150.jpg,
KITROD12,kit-12-rodizios-gel-50mm-freio-soprano,"Kit 12 Rodízios Gel 50mm Freio Soprano","Kit 12 Rodízios Gel 50mm Freio Soprano KITROD12","Kit 12 Rodizio Silicone Rodinha 50mm Com E Sem Trava Freio. Produto de alta qualidade premium fabricado com materiais duráveis e resistentes. Entrega rápida e segura pela Olist em todo o Brasil. Ideal para uso diário, com garantia de satisfação, suporte técnico completo e frete grátis. Otimize seu espaço com excelência e confiabilidade. Principais atributos: 50mm. Marca Soprano. Categoria: Rodízios. Uso relacionado: rodizio, com freio, silicone gel. Disponivel em estoque para venda online.",Soprano,Rodízios,129.00,76,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/d54e22e6d808c7d8716759a09f91ef7e.jpg,
FLOREIRA-FLAT77,floreira-flat-77cm-parede-cimento-queimado,"Floreira Flat 77cm Parede Cimento Queimado","Japi Vasos Decorativos Floreira Flat 77cm Parede Cimento Queimado 39l FLOREIRA-FLAT77","2x Floreira Flat 77 (39l) Cimento Queimado Japi. Produto de alta qualidade premium fabricado com materiais duráveis e resistentes. Entrega rápida e segura pela Olist em todo o Brasil. Ideal para uso diário, com garantia de satisfação, suporte técnico completo e frete grátis. Otimize seu espaço com excelência e confiabilidade. Principais atributos: 77cm, 39l. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",798.91,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/f5d114dbeb06f758e5b36ebe7c2097f1.jpg,
JVCDPA34,vaso-cilindrico-decore-34-28l-preto-ardosia-japi,"Vaso Cilíndrico Decore 34 28L Preto Ardósia Japi","Vasos Decorativos Vaso Cilíndrico Decore 34 28L Preto Ardósia Japi 28 l JVCDPA34","Vaso Cilíndrico Decore 34 28L Preto Ardósia Japi é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Japi   SKU: JVCDPA34   Capacidade: 28 l   Categoria: Vasos para Flores Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Principais atributos: 28l, 28 l, preto. Marca Japi. Categoria: Vasos Decorativos. Uso relacionado: jardim. Disponivel em estoque para venda online.",Japi,"Vasos Decorativos",397.72,6,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/b475e3f78ca19b04fe64ae96bf9bba6a.jpg,
6323,gancho-armador-rede-embutir-colonial-6323-alianca,"Gancho Armador Rede Embutir Colonial 6323 Aliança","Vivaliz Banheiro Gancho Armador Rede Embutir Colonial 6323 Aliança","Gancho Armador Rede Embutir Colonial 6323 Aliança é indicado para quem busca uma compra mais segura, com identificação clara de produto, marca, modelo e medidas principais.   Características principais: Marca: Aliança   SKU: 6323   Categoria: Varais Confira as dimensões, compatibilidade e aplicação antes da compra. Imagens meramente ilustrativas. Categoria: Banheiro. Uso relacionado: banheiro. Produto temporariamente sem estoque.",Vivaliz,Banheiro,118.87,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/ecc5818927a94b50e44935af285e3dd8.jpg,sem_estoque
TAJ/AS*BR1-NOVO,assento-sanitario-almofadado-slim-branco-astra,"Assento Sanitário Almofadado Slim Branco Astra","Banheiro Assento Sanitário Almofadado Slim Branco Astra TAJ/AS*BR1-NOVO","O Assento Sanitário Almofadado Slim Branco Astra combina conforto, praticidade e um design moderno para valorizar o ambiente do banheiro. Seu formato slim proporciona um visual mais discreto e elegante, enquanto a superfície almofadada oferece maior conforto durante o uso diário. Fabricado pela tradicional marca Astra, é produzido com materiais de qualidade que garantem resistência, durabilidade e fácil limpeza. Sua cor branca neutra harmoniza facilmente com diferentes modelos de louças sanitárias e estilos de decoração. Ideal para quem busca mais conforto sem abrir mão da estética, o assento possui instalação simples e acabamento que ajuda a manter o banheiro sempre bonito e organizado. Benefícios Design slim moderno e elegante. Superfície almofadada para maior conforto. Fácil instalação. Fácil limpeza e manutenção. Material resistente e durável. Cor branca que combina com diversos ambientes. Excelente acabamento e qualidade Astra. Características Técnicas Marca: Astra Modelo: Slim Almofadado Cor: Branco Tipo: Assento sanitário almofadado Material: PVC almofadado Formato: Slim Fixação: Regulável Uso: Residencial e comercial Conteúdo da Embalagem 1 Assento Sanitário Almofadado Slim Branco Astra Kit de fixação Manual de instalação Indicação de Uso Indicado para vasos sanitários compatíveis com o modelo Slim Astra, proporcionando conforto, praticidade e um acabamento elegante para o banheiro. Qualidade, conforto e durabilidade para o seu banheiro com a confiança da Astra. Principais atributos: almofadado, branco. Marca Astra. Categoria: Banheiro. Uso relacionado: banheiro, pet, jardim. Produto temporariamente sem estoque.",Astra,Banheiro,78.99,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/3dcf875ab7b0608ee41dca1667661a8e.jpg,sem_estoque
KIT-CADEADO-PAPAIZ-50MM-5UN,kit-5-cadeados-50mm-papaiz-latao-segredos-diferentes,"Kit 5 Cadeados 50mm Papaiz Latão Segredos Diferentes","Ferramentas Manuais Kit 5 Cadeados 50mm Papaiz Latão Segredos Diferentes 18 cm 9 cm 14 cm KIT-CADEADO-PAPAIZ-50MM-5UN","O Cadeado 50mm Papaiz Caixa Com 05 Un Segredo Diferente Cr 50 Latão é a solução ideal para quem busca segurança e praticidade. Com um design redondo e robusto, este cadeado é feito de bronze, garantindo durabilidade e resistência em diversas condições climáticas. Sua cor dourada não só proporciona um toque de elegância, mas também se destaca em qualquer ambiente. Este modelo de abertura por chave é perfeito para uso externo, oferecendo proteção confiável para portas, portões e outros objetos de valor. A embalagem contém cinco unidades, permitindo que você tenha sempre um cadeado à mão quando precisar. Com dimensões compactas, cada embalagem tem 18 cm de altura, 9 cm de comprimento e 14 cm de largura, pesando 1200 g no total. A escolha do Cadeado Papaiz é sinônimo de qualidade e confiança. Ideal para quem valoriza a segurança sem abrir mão do estilo, este produto é uma excelente adição para sua casa ou negócio. Experimente a tranquilidade que um cadeado de alta qualidade pode oferecer. Principais atributos: 50mm, 18 cm, 9 cm, 14 cm. Marca Papaiz. Categoria: Ferramentas Manuais. Uso relacionado: ferramenta. Produto temporariamente sem estoque.",Papaiz,"Ferramentas Manuais",339.15,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI4NTQ1NjExNw/9d63cadce3bfd01999bac11fd62e904b.jpg,sem_estoque
