sku,name,quantity,revenue,quantity_rank,value_rank,abc_class,avg_price,unit_cost,stock,gross_profit,gross_margin_percent,roi10_max_cpa_total_period,category,ads_score
C06TPT,Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar,36.0,43218.88,12,1,A,1200.52,707.26,0.0,17757.52,41.09,1775.75,ferramentas,49.13
03080.2050.10,Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano,238.0,2583.82,11,76,A,10.86,4.13,0.0,1600.88,61.96,160.09,rodizios,17.68
16,Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar,18.0,11126.06,29,2,A,618.11,310.26,0.0,5541.38,49.81,554.14,ferramentas,17.01
JFQFCQ77,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Cimento Queimado Japi,28.0,9486.08,17,4,A,338.79,160.0,0.0,5006.08,52.77,500.61,vasos,16.16
TPJ/AS*BR1,Assento Vaso Sanitário Oval Universal Soft Astra Cor Branco,159.0,5966.16,9,34,A,37.52,20.0,0.0,2786.16,46.7,278.62,assentos,15.59
TAJ/AS*BR1,Assento Sanitário Almofadado Slim Branco Astra,125.0,9105.72,4,5,A,72.85,0.0,0.0,0.0,0.0,0.0,assentos,15.36
JVCDB34,Vaso Decor Plantas Cilin Decore 34 (28l) Off White Japi,26.0,9014.06,19,6,A,346.69,178.83,0.0,4364.48,48.42,436.45,vasos,15.16
C08VM,Carrinho Fechado Ferramentas C08 6 Gavetas Vermelh Cza Fercar,7.0,10180.65,50,3,B,1454.38,895.13,0.0,3914.74,38.45,391.47,ferramentas,14.38
03080.3050.10,Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano,178.0,1749.66,15,84,A,9.83,3.57,0.0,1114.2,63.68,111.42,rodizios,14.02
C06PT,Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar Japi,6.0,7255.8,126,55,B,1209.3,661.11,0.0,3289.14,45.33,328.91,ferramentas,12.09
C08TVM,Carrinho Fechado Ferramentas C08 6 Gavetas Td Vermelho Fercar,6.0,8238.0,119,51,B,1373.0,890.08,0.0,2897.52,35.17,289.75,ferramentas,12.06
00,Caixa Ferramentas Bau Reto N00 30x13x10 c/ Bandeja Fercar,65.0,3718.77,7,14,A,57.21,29.55,0.0,1798.02,48.35,179.8,ferramentas,11.8
JFQFPA57,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Preto Ardosi Japi,20.0,2634.59,27,24,A,131.73,25.52,0.0,2124.19,80.63,212.42,vasos,11.7
JFQFCQ67,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Queimado Japi,23.0,5373.52,123,88,A,233.63,114.44,0.0,2741.4,51.02,274.14,vasos,11.63
C08TPT,Carrinho Fechado Ferramentas C08 6 Gavetas Todo Preto Fercar,5.0,7274.32,63,8,B,1454.86,882.42,0.0,2862.22,39.35,286.22,ferramentas,11.46
C17S,Caixa Descarga Branca Elevada  Regulável 9L Astra,20.0,1141.32,88,112,A,57.07,5.68,0.0,1027.72,90.05,102.77,outros,11.15
A21,Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra,33.0,2569.98,20,39,A,77.88,24.71,0.0,1754.55,68.27,175.45,outros,11.05
VED-80-NH,Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz,104.0,2606.23,26,75,A,25.06,10.0,0.0,1566.23,60.1,156.62,vedantes,10.82
JVCDCQ34,Vaso Decor Plantas Cilin Decore 34 (28l) Cimento Queim Japi,6.0,2141.32,55,36,B,356.89,77.78,0.0,1674.64,78.21,167.46,vasos,10.26
KIT4R-SOPRAO,KIT4R-SOPRÃO,2.0,90.0,112,116,C,45.0,2.35,0.0,85.3,94.78,8.53,outros,9.67
JVAQMA44,Vaso Decorativo Plantas Antique 44 (70l) Macchiato Japi,10.0,3890.72,36,13,B,389.07,185.24,0.0,2038.32,52.39,203.83,vasos,9.63
COM2,Comedouro Automatico  Regulavel Caes Gatosv5 Kg Fercar,24.0,3108.72,93,80,A,129.53,61.94,0.0,1622.16,52.18,162.22,pet,9.53
JFQFAC67,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Aco Corten Japi,12.0,2692.49,33,23,B,224.37,85.07,0.0,1671.65,62.09,167.16,vasos,9.5
