Produto;Código;Quantidade;Valor;% Individual;% Acumulado;Classificação
Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano;03080.2050.10;238;2583,82;11,37;11,37;A
Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano;03080.3050.10;178;1749,66;8,5;19,88;A
Assento Sanitário Oval Universal Soft Branco Astra;TPJ/AS*BR1;159;5966,16;7,6;27,47;A
Assento Sanitário Almofadado Slim Branco Astra;TAJ/AS*BR1;125;9105,72;5,97;33,44;A
Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz;ved-80-nh;104;2606,23;4,97;38,41;A
Parafuso 5x16;Parafuso5x16;96;0;4,59;43;A
Caixa Ferramentas Bau Reto N00 30x13x10 c/ Bandeja Fercar;00;65;3718,77;3,11;46,11;A
Rodízio Transparente 035mm Freio Chapa Giratória Soprano;1C7Q-LKUU-0BA3;63;615,5;3,01;49,12;A
Assento Vaso Sanitário Oval Universal Soft Astra Cor Branco;TPJ/AS*BR1;60;2277,16;2,87;51,98;A
Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz;RODOVED100;47;1426,18;2,25;54,23;A
RODIZIO TRANSPARENTE 50MM COM FREIO CHAPA GIRATORIO NIQUEL;03080.2050.10;44;461,12;2,1;56,33;A
Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar;C06TPT;36;43218,88;1,72;58,05;A
Rodizio de Gel Giratório com freio 75mm rolamento Soprano;1C7Q-LKVS-MDOC;34;654,4;1,62;59,68;A
Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra;A21;33;2569,98;1,58;61,25;A
RODIZIO TRANSPARENTE 50MM SEM FREIO CHAPA GIRATORIO NIQUEL;03080.3050.10;32;306,76;1,53;62,78;A
Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar;178970678530;29;760,46;1,39;64,17;A
Cachepot Floreira Flat Vaso 77(32l) 29x77cm Cimento Queimado Japi;JFQFCQ77;28;9486,08;1,34;65,5;A
Pote Plástico 500ml Totalplast 24 Unidade Microondas Freezer;PCT-500;26;665,16;1,24;66,75;A
Vaso Decor Plantas Cilin Decore 34 (28l) Off White Japi;JVCDB34;26;9014,06;1,24;67,99;A
Armário Banheiro 28.4x40.8x9.5cm Branco Porta Correr A21 Astra;A21;25;1958,37;1,19;69,18;A
