sku,product_id,name,quantity,orders,revenue,estimated_cost,gross_profit,margin_percent,stock
1C7Q-LKUU-0BA3,342902653,Rodízio Transparente 035mm Freio Chapa Giratória Soprano,24.0,3,221.0,0.0,0.0,0.0,481.0
TPJ/AS*BR1,342716910,Assento Sanitário Oval Universal Soft Branco Astra,20.0,20,756.53,0.0,0.0,0.0,178.0
JFQFPA57,353702017,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Preto Ardosi Japi,19.0,2,2489.0,0.0,0.0,0.0,10.0
ved-80-nh,353731878,Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz,9.0,6,215.06,0.0,0.0,0.0,1477.0
JFQFAC67,353734363,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Aco Corten Japi,6.0,6,1254.0,0.0,0.0,0.0,20.0
00,341683965,Caixa Ferramentas Bau Reto N00 30x13x10 C/ Bandeja Fercar,6.0,3,333.72,0.0,0.0,0.0,188.0
COM3,353733990,Comedouro Automatico Regulavel Caes Gatos 10 Kg Fercar,5.0,5,982.53,0.0,0.0,0.0,37.0
178970678530,353732774,Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar,5.0,5,132.87,0.0,0.0,0.0,567.0
JFQFE77,353698781,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Chumbo Japi,4.0,2,1414.84,0.0,0.0,0.0,2.0
JVCDB34,353676753,Vaso Decor Plantas Cilin Decore 34 (28l) Off White Japi,4.0,3,1370.99,0.0,0.0,0.0,17.0
JFQFAC57,353701556,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Aço Corten Japi,4.0,2,605.67,0.0,0.0,0.0,13.0
C08TVM,353735022,Carrinho Fechado Ferramentas C08 6 Gavetas Td Vermelho Fercar,3.0,3,4076.97,0.0,0.0,0.0,2.0
JVCDE34,352312700,Vaso Decor Plantas Cilin Decore 34 (28l) Chumbo Japi,3.0,2,971.7,0.0,0.0,0.0,6.0
JFQFCQ57,353701891,Cachepot Floreira Flat Vaso 57 (6l)15x57cm Cimento Quei Japi,3.0,2,342.6,0.0,0.0,0.0,1.0
TAJ/AS*BR1-NOVO,341484398,Assento Sanitário Almofadado Slim Branco Astra,3.0,3,207.64,0.0,0.0,0.0,0.0
VED90UN,353731662,Rodo Vedante Borracha Friso Porta Aluminio 90 Cm Vivaliz,3.0,3,81.0,0.0,0.0,0.0,1463.0
C06PT,353692956,Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar,2.0,2,2558.1,0.0,0.0,0.0,18.0
16,341679995,Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar,2.0,2,1168.0,0.0,0.0,0.0,10.0
JFQFCQ77,353698710,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Cimento Queimado Japi,2.0,1,629.8,0.0,0.0,0.0,11.0
JVAQCQ56,360491751,Vaso Decorativo Plantas Antique 56 (46l) Cimento Queim Japi,2.0,1,519.9,0.0,0.0,0.0,0.0
JFQFCQ67,353711354,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Queimado Japi,2.0,1,454.14,0.0,0.0,0.0,21.0
COM1,353733822,"Comedouro Automatico Regulavel Caes Gatos 2,5 Kg Fercar",2.0,2,157.98,0.0,0.0,0.0,19.0
C17S,342906622,Caixa Descarga Branca Elevada Regulável 9L Astra,2.0,2,115.77,0.0,0.0,0.0,49.0
23050,341723607,"Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools",2.0,1,96.9,0.0,0.0,0.0,1.0
KIT4R-SOPRÃO,341440872,KIT4R-SOPRÃO,2.0,2,90.0,0.0,0.0,0.0,150.0
RODOVED100,353732039,Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz,2.0,1,64.4,0.0,0.0,0.0,533.0
ved-70,353732318,Rodo Vedante Borracha Friso Porta Aluminio 70cm Vivaliz,2.0,2,50.0,0.0,0.0,0.0,1570.0
03080.2050.10,344671209,Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano,2.0,1,24.22,0.0,0.0,0.0,1032.0
03080.3050.10,344670767,Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano,2.0,1,20.78,0.0,0.0,0.0,468.0
SKU-343577002,360491374,Chave Teste 140MM 100/500V,2.0,2,17.8,0.0,0.0,0.0,11.0
C08VM,353736291,Carrinho Fechado Ferramentas C08 6 Gavetas Vermelh Cza Fercar,1.0,1,1439.67,0.0,0.0,0.0,6.0
C06TVM,353693135,Carrinho Fechado Ferramentas C06 3 Gavetas Td Vermelho Fercar,1.0,1,1299.0,0.0,0.0,0.0,0.0
C06TPT,353693038,Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar,1.0,1,1199.05,0.0,0.0,0.0,2.0
JVAQAC44,360491615,Vaso Decorativo Plantas Antique 44 (70l) Aco Corten Japi,1.0,1,425.2,0.0,0.0,0.0,0.0
13,341679483,Caixa Ferramentas Bau Reto N13 50x25x22 C/ Bandeja Fercar,1.0,1,206.71,0.0,0.0,0.0,3.0
9,353692294,Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 Cm N09 Fercar,1.0,1,202.78,0.0,0.0,0.0,5.0
Sabatini,353733531,Assento Sanitário Almofadado Sabatini Astra,1.0,1,137.0,0.0,0.0,0.0,45.0
COM2,353733903,Comedouro Automatico Regulavel Caes Gatosv5 Kg Fercar,1.0,1,114.31,0.0,0.0,0.0,32.0
A21,342849443,Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra,1.0,1,78.99,0.0,0.0,0.0,21.0
Castanhodba,353697660,Massa F12 para Calafetar Madeira 400g Castanho Viapol,1.0,1,22.44,0.0,0.0,0.0,14.0
