sanitized_folder,sku
00,00
03S,03S
03S_1,03S
100cm,100cm
13,13
13705E,13705E
14,14
15,15
16,16
18297664355,18297664355
1C7Q-LKUT-WWJG,1C7Q-LKUT-WWJG
1C7Q-LKUT-YLKI,1C7Q-LKUT-YLKI
1C7Q-LKUU-0BA3,1C7Q-LKUU-0BA3
1C7Q-LKV8-XESV,1C7Q-LKV8-XESV
1C7Q-LKVG-ED52,1C7Q-LKVG-ED52
1C7Q-LKVM-XCM7,1C7Q-LKVM-XCM7
1C7Q-LKVM-XFLJ,1C7Q-LKVM-XFLJ
1C7Q-LKVS-MDOC,1C7Q-LKVS-MDOC
1C7Q-LKVS-MQQN,1C7Q-LKVS-MQQN
1C7Q-LKVY-TGBG,1C7Q-LKVY-TGBG
1C7Q-LKVY-UH7N,1C7Q-LKVY-UH7N
1C7Q-LKWA-VXHL,1C7Q-LKWA-VXHL
1C7Q-LKWG-J7K0,1C7Q-LKWG-J7K0
1C7Q-LKWN-4L04,1C7Q-LKWN-4L04
1C7Q-LKWN-58U7,1C7Q-LKWN-58U7
1C7Q-LKX6-27AL,1C7Q-LKX6-27AL
1X-MP6U-PC2O,1X-MP6U-PC2O
20097983286,20097983286
20787,20787
21049,21049
21799186730,21799186730
22593596031,22593596031
22894740870,22894740870
22959,22959
23050,23050
23198450269,23198450269
23293492792,23293492792
23394163018,23394163018
23398654866,23398654866
23598659179,23598659179
23697158433,23697158433
23898202378,23898202378
23898649233,23898649233
23993701091,23993701091
3370055,3370055
348942357,348942357
348942357_1,348942357
6,6
6323,6323
6_1,6
7323,7323
79050122,79050122
80cm,80cm
90cm,90cm
91-9SQS-LUGR,91-9SQS-LUGR
A21,A21
A41_BR,A41*BR
AD_GAN_BR,AD/GAN*BR
AD_SAB_BR,AD/SAB*BR
ANT55-ACO-CORTEN-DBA,ANT55-ACO-CORTEN-DBA
ARM-08,ARM-08
ASTRAPET-CASINHA-CACHORRO-AZUL,ASTRAPET-CASINHA-CACHORRO-AZUL
Assento-almofadado-astra,Assento-almofadado-astra
C17_S_BR1,C17/S*BR1
CD02,CD02
CHB-40025,CHB-40025
COM350,COM350
COR2,COR2
COR5,COR5
CPAZ,CPAZ
CR30_50,CR30/50
CS-11,CS-11
DF-YI5I-RAY1,DF-YI5I-RAY1
ESTOPAPOLIMENTO1KG,ESTOPAPOLIMENTO1KG
FLOREIRA-FLAT77,FLOREIRA-FLAT77
JCMCCQ35,JCMCCQ35
JFQFAC57,JFQFAC57
JFQFAC67,JFQFAC67
JFQFAC77,JFQFAC77
JFQFCQ57,JFQFCQ57
